gt_side1,gt_side2,gt_side3,gt_side4,gt_side5,gt_side6,gt_side7,gt_side8,gt_side9,gt_side10,gt_side11,gt_side12,gt_side13,gt_side14,gt_side15,gt_side16,gt_side17,gt_side18,gt_side19,gt_side20,gt_side21,gt_side22,gt_side23,gt_side24,gt_side25,gt_side26,gt_side27,gt_side28,gt_side29,gt_side30,gt_side31,gt_side32,gt_side33,gt_side34,gt_side35,gt_side36,gt_side37,gt_side38,gt_side39,gt_side40,gt_side41,gt_side42,gt_side43,gt_side44,gt_side45,gt_side46,gt_side47,gt_side48,gt_side49,gt_side50,gt_side51,gt_side52,gt_side53,gt_side54,gt_side55,gt_side56,gt_side57,gt_side58,gt_side59,gt_side60,images_left1,images_left2,images_left3,images_left4,images_left5,images_left6,images_left7,images_left8,images_left9,images_left10,images_left11,images_left12,images_left13,images_left14,images_left15,images_left16,images_left17,images_left18,images_left19,images_left20,images_left21,images_left22,images_left23,images_left24,images_left25,images_left26,images_left27,images_left28,images_left29,images_left30,images_left31,images_left32,images_left33,images_left34,images_left35,images_left36,images_left37,images_left38,images_left39,images_left40,images_left41,images_left42,images_left43,images_left44,images_left45,images_left46,images_left47,images_left48,images_left49,images_left50,images_left51,images_left52,images_left53,images_left54,images_left55,images_left56,images_left57,images_left58,images_left59,images_left60,images_right1,images_right2,images_right3,images_right4,images_right5,images_right6,images_right7,images_right8,images_right9,images_right10,images_right11,images_right12,images_right13,images_right14,images_right15,images_right16,images_right17,images_right18,images_right19,images_right20,images_right21,images_right22,images_right23,images_right24,images_right25,images_right26,images_right27,images_right28,images_right29,images_right30,images_right31,images_right32,images_right33,images_right34,images_right35,images_right36,images_right37,images_right38,images_right39,images_right40,images_right41,images_right42,images_right43,images_right44,images_right45,images_right46,images_right47,images_right48,images_right49,images_right50,images_right51,images_right52,images_right53,images_right54,images_right55,images_right56,images_right57,images_right58,images_right59,images_right60
right,right,left,right,left,left,left,left,left,right,left,left,right,right,left,right,left,left,right,left,left,right,left,left,left,right,right,left,right,left,right,left,left,left,left,right,right,left,left,right,right,left,right,left,left,right,right,right,right,right,left,left,left,right,right,right,right,left,right,right,DRPAN/340,DRPAN/130,DRPAN_R/386,DRPAN/261,DRPAN_R/426,DRPAN_R/325,DRPAN_R/76,DRPAN_R/441,DRPAN_R/207,DRPAN/160,DRPAN_R/424,DRPAN_R/406,DRPAN/47,DRPAN/24,DRPAN_R/494,DRPAN/335,DRPAN_R/328,DRPAN_R/236,DRPAN/351,DRPAN_R/326,DRPAN_R/265,DRPAN/256,DRPAN_R/403,DRPAN_R/175,DRPAN_R/405,DRPAN/101,DRPAN/182,DRPAN_R/241,DRPAN/274,DRPAN_R/203,DRPAN/48,DRPAN_R/346,DRPAN_R/397,DRPAN_R/435,DRPAN_R/436,DRPAN/462,DRPAN/210,DRPAN_R/446,DRPAN_R/467,DRPAN/383,DRPAN/291,DRPAN_R/483,DRPAN/320,DRPAN_R/407,DRPAN_R/12,DRPAN/364,DRPAN/419,DRPAN/496,DRPAN/296,DRPAN/258,DRPAN_R/481,DRPAN_R/273,DRPAN_R/253,DRPAN/162,DRPAN/3,DRPAN/187,DRPAN/44,DRPAN_R/447,DRPAN/240,DRPAN/11,DRPAN_R/340,DRPAN_R/130,DRPAN/386,DRPAN_R/261,DRPAN/426,DRPAN/325,DRPAN/76,DRPAN/441,DRPAN/207,DRPAN_R/160,DRPAN/424,DRPAN/406,DRPAN_R/47,DRPAN_R/24,DRPAN/494,DRPAN_R/335,DRPAN/328,DRPAN/236,DRPAN_R/351,DRPAN/326,DRPAN/265,DRPAN_R/256,DRPAN/403,DRPAN/175,DRPAN/405,DRPAN_R/101,DRPAN_R/182,DRPAN/241,DRPAN_R/274,DRPAN/203,DRPAN_R/48,DRPAN/346,DRPAN/397,DRPAN/435,DRPAN/436,DRPAN_R/462,DRPAN_R/210,DRPAN/446,DRPAN/467,DRPAN_R/383,DRPAN_R/291,DRPAN/483,DRPAN_R/320,DRPAN/407,DRPAN/12,DRPAN_R/364,DRPAN_R/419,DRPAN_R/496,DRPAN_R/296,DRPAN_R/258,DRPAN/481,DRPAN/273,DRPAN/253,DRPAN_R/162,DRPAN_R/3,DRPAN_R/187,DRPAN_R/44,DRPAN/447,DRPAN_R/240,DRPAN_R/11
right,left,left,right,right,left,left,left,left,left,left,right,right,left,right,right,right,left,right,right,right,right,right,left,right,left,left,right,left,left,left,right,left,right,right,left,right,left,right,left,right,right,left,left,left,left,left,left,left,right,left,right,left,left,left,left,right,left,right,right,DRPAN/217,DRPAN_R/181,DRPAN_R/482,DRPAN/35,DRPAN/118,DRPAN_R/189,DRPAN_R/249,DRPAN_R/329,DRPAN_R/31,DRPAN_R/87,DRPAN_R/408,DRPAN/234,DRPAN/13,DRPAN_R/356,DRPAN/38,DRPAN/245,DRPAN/335,DRPAN_R/381,DRPAN/161,DRPAN/119,DRPAN/206,DRPAN/46,DRPAN/170,DRPAN_R/100,DRPAN/492,DRPAN_R/246,DRPAN_R/484,DRPAN/50,DRPAN_R/37,DRPAN_R/367,DRPAN_R/416,DRPAN/471,DRPAN_R/344,DRPAN/227,DRPAN/25,DRPAN_R/213,DRPAN/301,DRPAN_R/141,DRPAN/47,DRPAN_R/127,DRPAN/405,DRPAN/198,DRPAN_R/475,DRPAN_R/330,DRPAN_R/280,DRPAN_R/325,DRPAN_R/169,DRPAN_R/77,DRPAN_R/220,DRPAN/286,DRPAN_R/218,DRPAN/334,DRPAN_R/270,DRPAN_R/182,DRPAN_R/282,DRPAN_R/140,DRPAN/241,DRPAN_R/304,DRPAN/459,DRPAN/222,DRPAN_R/217,DRPAN/181,DRPAN/482,DRPAN_R/35,DRPAN_R/118,DRPAN/189,DRPAN/249,DRPAN/329,DRPAN/31,DRPAN/87,DRPAN/408,DRPAN_R/234,DRPAN_R/13,DRPAN/356,DRPAN_R/38,DRPAN_R/245,DRPAN_R/335,DRPAN/381,DRPAN_R/161,DRPAN_R/119,DRPAN_R/206,DRPAN_R/46,DRPAN_R/170,DRPAN/100,DRPAN_R/492,DRPAN/246,DRPAN/484,DRPAN_R/50,DRPAN/37,DRPAN/367,DRPAN/416,DRPAN_R/471,DRPAN/344,DRPAN_R/227,DRPAN_R/25,DRPAN/213,DRPAN_R/301,DRPAN/141,DRPAN_R/47,DRPAN/127,DRPAN_R/405,DRPAN_R/198,DRPAN/475,DRPAN/330,DRPAN/280,DRPAN/325,DRPAN/169,DRPAN/77,DRPAN/220,DRPAN_R/286,DRPAN/218,DRPAN_R/334,DRPAN/270,DRPAN/182,DRPAN/282,DRPAN/140,DRPAN_R/241,DRPAN/304,DRPAN_R/459,DRPAN_R/222
right,left,left,left,left,right,right,right,left,left,right,left,right,right,left,right,left,right,left,left,left,left,right,left,right,right,right,left,left,right,left,right,right,right,right,right,left,right,right,left,left,right,right,right,right,left,right,left,left,right,right,left,left,right,left,right,right,right,left,right,DRPAN/427,DRPAN_R/125,DRPAN_R/54,DRPAN_R/439,DRPAN_R/406,DRPAN/204,DRPAN/130,DRPAN/417,DRPAN_R/148,DRPAN_R/388,DRPAN/481,DRPAN_R/384,DRPAN/91,DRPAN/257,DRPAN_R/215,DRPAN/376,DRPAN_R/256,DRPAN/262,DRPAN_R/25,DRPAN_R/317,DRPAN_R/314,DRPAN_R/466,DRPAN/437,DRPAN_R/304,DRPAN/169,DRPAN/465,DRPAN/47,DRPAN_R/89,DRPAN_R/219,DRPAN/327,DRPAN_R/424,DRPAN/389,DRPAN/44,DRPAN/175,DRPAN/30,DRPAN/375,DRPAN_R/235,DRPAN/45,DRPAN/196,DRPAN_R/178,DRPAN_R/46,DRPAN/72,DRPAN/305,DRPAN/295,DRPAN/292,DRPAN_R/366,DRPAN/438,DRPAN_R/150,DRPAN_R/31,DRPAN/106,DRPAN/129,DRPAN_R/190,DRPAN_R/11,DRPAN/98,DRPAN_R/103,DRPAN/372,DRPAN/74,DRPAN/490,DRPAN_R/452,DRPAN/435,DRPAN_R/427,DRPAN/125,DRPAN/54,DRPAN/439,DRPAN/406,DRPAN_R/204,DRPAN_R/130,DRPAN_R/417,DRPAN/148,DRPAN/388,DRPAN_R/481,DRPAN/384,DRPAN_R/91,DRPAN_R/257,DRPAN/215,DRPAN_R/376,DRPAN/256,DRPAN_R/262,DRPAN/25,DRPAN/317,DRPAN/314,DRPAN/466,DRPAN_R/437,DRPAN/304,DRPAN_R/169,DRPAN_R/465,DRPAN_R/47,DRPAN/89,DRPAN/219,DRPAN_R/327,DRPAN/424,DRPAN_R/389,DRPAN_R/44,DRPAN_R/175,DRPAN_R/30,DRPAN_R/375,DRPAN/235,DRPAN_R/45,DRPAN_R/196,DRPAN/178,DRPAN/46,DRPAN_R/72,DRPAN_R/305,DRPAN_R/295,DRPAN_R/292,DRPAN/366,DRPAN_R/438,DRPAN/150,DRPAN/31,DRPAN_R/106,DRPAN_R/129,DRPAN/190,DRPAN/11,DRPAN_R/98,DRPAN/103,DRPAN_R/372,DRPAN_R/74,DRPAN_R/490,DRPAN/452,DRPAN_R/435
left,left,right,left,left,right,left,left,right,right,left,right,left,right,left,right,left,right,right,right,left,right,right,left,left,right,right,right,left,left,right,left,right,right,right,right,left,right,left,left,left,left,left,right,right,right,left,right,left,left,left,right,left,left,left,left,left,right,right,right,DRPAN_R/14,DRPAN_R/481,DRPAN/263,DRPAN_R/293,DRPAN_R/408,DRPAN/480,DRPAN_R/79,DRPAN_R/249,DRPAN/125,DRPAN/488,DRPAN_R/58,DRPAN/56,DRPAN_R/116,DRPAN/205,DRPAN_R/390,DRPAN/114,DRPAN_R/12,DRPAN/202,DRPAN/457,DRPAN/292,DRPAN_R/21,DRPAN/121,DRPAN/283,DRPAN_R/188,DRPAN_R/132,DRPAN/152,DRPAN/326,DRPAN/296,DRPAN_R/483,DRPAN_R/252,DRPAN/388,DRPAN_R/189,DRPAN/77,DRPAN/15,DRPAN/186,DRPAN/410,DRPAN_R/471,DRPAN/299,DRPAN_R/262,DRPAN_R/419,DRPAN_R/101,DRPAN_R/365,DRPAN_R/129,DRPAN/384,DRPAN/163,DRPAN/131,DRPAN_R/128,DRPAN/48,DRPAN_R/316,DRPAN_R/383,DRPAN_R/29,DRPAN/319,DRPAN_R/285,DRPAN_R/467,DRPAN_R/25,DRPAN_R/197,DRPAN_R/108,DRPAN/307,DRPAN/257,DRPAN/354,DRPAN/14,DRPAN/481,DRPAN_R/263,DRPAN/293,DRPAN/408,DRPAN_R/480,DRPAN/79,DRPAN/249,DRPAN_R/125,DRPAN_R/488,DRPAN/58,DRPAN_R/56,DRPAN/116,DRPAN_R/205,DRPAN/390,DRPAN_R/114,DRPAN/12,DRPAN_R/202,DRPAN_R/457,DRPAN_R/292,DRPAN/21,DRPAN_R/121,DRPAN_R/283,DRPAN/188,DRPAN/132,DRPAN_R/152,DRPAN_R/326,DRPAN_R/296,DRPAN/483,DRPAN/252,DRPAN_R/388,DRPAN/189,DRPAN_R/77,DRPAN_R/15,DRPAN_R/186,DRPAN_R/410,DRPAN/471,DRPAN_R/299,DRPAN/262,DRPAN/419,DRPAN/101,DRPAN/365,DRPAN/129,DRPAN_R/384,DRPAN_R/163,DRPAN_R/131,DRPAN/128,DRPAN_R/48,DRPAN/316,DRPAN/383,DRPAN/29,DRPAN_R/319,DRPAN/285,DRPAN/467,DRPAN/25,DRPAN/197,DRPAN/108,DRPAN_R/307,DRPAN_R/257,DRPAN_R/354
right,left,right,left,right,left,right,left,left,right,right,right,left,left,left,left,left,left,left,left,left,left,right,left,right,left,left,left,left,left,right,left,left,left,right,left,right,left,right,right,right,right,left,left,right,right,right,left,right,right,right,right,left,left,left,right,right,left,right,right,DRPAN/154,DRPAN_R/10,DRPAN/61,DRPAN_R/491,DRPAN/4,DRPAN_R/457,DRPAN/218,DRPAN_R/227,DRPAN_R/389,DRPAN/9,DRPAN/25,DRPAN/205,DRPAN_R/495,DRPAN_R/349,DRPAN_R/427,DRPAN_R/272,DRPAN_R/267,DRPAN_R/274,DRPAN_R/221,DRPAN_R/471,DRPAN_R/80,DRPAN_R/485,DRPAN/67,DRPAN_R/199,DRPAN/419,DRPAN_R/217,DRPAN_R/211,DRPAN_R/111,DRPAN_R/105,DRPAN_R/182,DRPAN/472,DRPAN_R/399,DRPAN_R/157,DRPAN_R/193,DRPAN/428,DRPAN_R/143,DRPAN/322,DRPAN_R/35,DRPAN/121,DRPAN/97,DRPAN/375,DRPAN/145,DRPAN_R/140,DRPAN_R/27,DRPAN/277,DRPAN/424,DRPAN/38,DRPAN_R/463,DRPAN/293,DRPAN/58,DRPAN/431,DRPAN/181,DRPAN_R/425,DRPAN_R/315,DRPAN_R/74,DRPAN/279,DRPAN/287,DRPAN_R/484,DRPAN/403,DRPAN/185,DRPAN_R/154,DRPAN/10,DRPAN_R/61,DRPAN/491,DRPAN_R/4,DRPAN/457,DRPAN_R/218,DRPAN/227,DRPAN/389,DRPAN_R/9,DRPAN_R/25,DRPAN_R/205,DRPAN/495,DRPAN/349,DRPAN/427,DRPAN/272,DRPAN/267,DRPAN/274,DRPAN/221,DRPAN/471,DRPAN/80,DRPAN/485,DRPAN_R/67,DRPAN/199,DRPAN_R/419,DRPAN/217,DRPAN/211,DRPAN/111,DRPAN/105,DRPAN/182,DRPAN_R/472,DRPAN/399,DRPAN/157,DRPAN/193,DRPAN_R/428,DRPAN/143,DRPAN_R/322,DRPAN/35,DRPAN_R/121,DRPAN_R/97,DRPAN_R/375,DRPAN_R/145,DRPAN/140,DRPAN/27,DRPAN_R/277,DRPAN_R/424,DRPAN_R/38,DRPAN/463,DRPAN_R/293,DRPAN_R/58,DRPAN_R/431,DRPAN_R/181,DRPAN/425,DRPAN/315,DRPAN/74,DRPAN_R/279,DRPAN_R/287,DRPAN/484,DRPAN_R/403,DRPAN_R/185
right,right,left,right,left,left,left,right,right,left,left,right,left,left,left,left,right,right,left,right,right,right,right,left,left,right,right,left,right,left,left,right,left,left,right,right,left,right,right,right,left,left,right,left,right,left,left,left,right,right,left,left,right,right,left,right,right,right,right,right,DRPAN/265,DRPAN/312,DRPAN_R/376,DRPAN/347,DRPAN_R/187,DRPAN_R/454,DRPAN_R/387,DRPAN/117,DRPAN/43,DRPAN_R/237,DRPAN_R/192,DRPAN/338,DRPAN_R/260,DRPAN_R/35,DRPAN_R/228,DRPAN_R/3,DRPAN/18,DRPAN/401,DRPAN_R/99,DRPAN/349,DRPAN/498,DRPAN/86,DRPAN/470,DRPAN_R/196,DRPAN_R/136,DRPAN/272,DRPAN/420,DRPAN_R/203,DRPAN/184,DRPAN_R/181,DRPAN_R/438,DRPAN/371,DRPAN_R/239,DRPAN_R/354,DRPAN/72,DRPAN/212,DRPAN_R/25,DRPAN/410,DRPAN/243,DRPAN/424,DRPAN_R/90,DRPAN_R/364,DRPAN/403,DRPAN_R/355,DRPAN/1,DRPAN_R/211,DRPAN_R/115,DRPAN_R/259,DRPAN/412,DRPAN/24,DRPAN_R/429,DRPAN_R/313,DRPAN/500,DRPAN/377,DRPAN_R/154,DRPAN/335,DRPAN/444,DRPAN/96,DRPAN/414,DRPAN/223,DRPAN_R/265,DRPAN_R/312,DRPAN/376,DRPAN_R/347,DRPAN/187,DRPAN/454,DRPAN/387,DRPAN_R/117,DRPAN_R/43,DRPAN/237,DRPAN/192,DRPAN_R/338,DRPAN/260,DRPAN/35,DRPAN/228,DRPAN/3,DRPAN_R/18,DRPAN_R/401,DRPAN/99,DRPAN_R/349,DRPAN_R/498,DRPAN_R/86,DRPAN_R/470,DRPAN/196,DRPAN/136,DRPAN_R/272,DRPAN_R/420,DRPAN/203,DRPAN_R/184,DRPAN/181,DRPAN/438,DRPAN_R/371,DRPAN/239,DRPAN/354,DRPAN_R/72,DRPAN_R/212,DRPAN/25,DRPAN_R/410,DRPAN_R/243,DRPAN_R/424,DRPAN/90,DRPAN/364,DRPAN_R/403,DRPAN/355,DRPAN_R/1,DRPAN/211,DRPAN/115,DRPAN/259,DRPAN_R/412,DRPAN_R/24,DRPAN/429,DRPAN/313,DRPAN_R/500,DRPAN_R/377,DRPAN/154,DRPAN_R/335,DRPAN_R/444,DRPAN_R/96,DRPAN_R/414,DRPAN_R/223
right,left,left,right,left,right,right,right,left,right,right,right,left,left,left,left,right,right,right,right,right,left,left,right,left,right,right,left,right,right,right,right,left,left,right,right,right,right,right,left,left,left,right,right,right,right,left,left,left,left,right,right,left,left,left,right,right,left,left,left,DRPAN/79,DRPAN_R/389,DRPAN_R/151,DRPAN/105,DRPAN_R/328,DRPAN/98,DRPAN/35,DRPAN/261,DRPAN_R/474,DRPAN/135,DRPAN/427,DRPAN/219,DRPAN_R/338,DRPAN_R/100,DRPAN_R/470,DRPAN_R/33,DRPAN/66,DRPAN/383,DRPAN/51,DRPAN/53,DRPAN/450,DRPAN_R/141,DRPAN_R/396,DRPAN/467,DRPAN_R/169,DRPAN/36,DRPAN/325,DRPAN_R/205,DRPAN/486,DRPAN/413,DRPAN/149,DRPAN/364,DRPAN_R/125,DRPAN_R/62,DRPAN/287,DRPAN/89,DRPAN/366,DRPAN/240,DRPAN/197,DRPAN_R/101,DRPAN_R/344,DRPAN_R/192,DRPAN/435,DRPAN/333,DRPAN/342,DRPAN/71,DRPAN_R/175,DRPAN_R/131,DRPAN_R/365,DRPAN_R/160,DRPAN/487,DRPAN/145,DRPAN_R/469,DRPAN_R/182,DRPAN_R/64,DRPAN/190,DRPAN/359,DRPAN_R/282,DRPAN_R/146,DRPAN_R/321,DRPAN_R/79,DRPAN/389,DRPAN/151,DRPAN_R/105,DRPAN/328,DRPAN_R/98,DRPAN_R/35,DRPAN_R/261,DRPAN/474,DRPAN_R/135,DRPAN_R/427,DRPAN_R/219,DRPAN/338,DRPAN/100,DRPAN/470,DRPAN/33,DRPAN_R/66,DRPAN_R/383,DRPAN_R/51,DRPAN_R/53,DRPAN_R/450,DRPAN/141,DRPAN/396,DRPAN_R/467,DRPAN/169,DRPAN_R/36,DRPAN_R/325,DRPAN/205,DRPAN_R/486,DRPAN_R/413,DRPAN_R/149,DRPAN_R/364,DRPAN/125,DRPAN/62,DRPAN_R/287,DRPAN_R/89,DRPAN_R/366,DRPAN_R/240,DRPAN_R/197,DRPAN/101,DRPAN/344,DRPAN/192,DRPAN_R/435,DRPAN_R/333,DRPAN_R/342,DRPAN_R/71,DRPAN/175,DRPAN/131,DRPAN/365,DRPAN/160,DRPAN_R/487,DRPAN_R/145,DRPAN/469,DRPAN/182,DRPAN/64,DRPAN_R/190,DRPAN_R/359,DRPAN/282,DRPAN/146,DRPAN/321
left,left,right,right,right,right,right,right,right,left,left,right,right,left,left,right,right,left,left,left,right,left,right,right,right,right,right,right,right,left,left,left,right,left,right,right,left,left,right,left,right,right,right,left,left,left,right,left,left,right,right,left,right,right,right,left,right,left,right,right,DRPAN_R/359,DRPAN_R/369,DRPAN/58,DRPAN/53,DRPAN/3,DRPAN/23,DRPAN/76,DRPAN/423,DRPAN/475,DRPAN_R/60,DRPAN_R/295,DRPAN/52,DRPAN/136,DRPAN_R/382,DRPAN_R/343,DRPAN/438,DRPAN/288,DRPAN_R/397,DRPAN_R/272,DRPAN_R/99,DRPAN/21,DRPAN_R/242,DRPAN/277,DRPAN/399,DRPAN/394,DRPAN/88,DRPAN/373,DRPAN/223,DRPAN/16,DRPAN_R/210,DRPAN_R/284,DRPAN_R/265,DRPAN/134,DRPAN_R/488,DRPAN/450,DRPAN/351,DRPAN_R/459,DRPAN_R/182,DRPAN/443,DRPAN_R/300,DRPAN/121,DRPAN/155,DRPAN/492,DRPAN_R/486,DRPAN_R/37,DRPAN_R/466,DRPAN/290,DRPAN_R/298,DRPAN_R/349,DRPAN/109,DRPAN/495,DRPAN_R/251,DRPAN/25,DRPAN/201,DRPAN/285,DRPAN_R/283,DRPAN/232,DRPAN_R/28,DRPAN/68,DRPAN/302,DRPAN/359,DRPAN/369,DRPAN_R/58,DRPAN_R/53,DRPAN_R/3,DRPAN_R/23,DRPAN_R/76,DRPAN_R/423,DRPAN_R/475,DRPAN/60,DRPAN/295,DRPAN_R/52,DRPAN_R/136,DRPAN/382,DRPAN/343,DRPAN_R/438,DRPAN_R/288,DRPAN/397,DRPAN/272,DRPAN/99,DRPAN_R/21,DRPAN/242,DRPAN_R/277,DRPAN_R/399,DRPAN_R/394,DRPAN_R/88,DRPAN_R/373,DRPAN_R/223,DRPAN_R/16,DRPAN/210,DRPAN/284,DRPAN/265,DRPAN_R/134,DRPAN/488,DRPAN_R/450,DRPAN_R/351,DRPAN/459,DRPAN/182,DRPAN_R/443,DRPAN/300,DRPAN_R/121,DRPAN_R/155,DRPAN_R/492,DRPAN/486,DRPAN/37,DRPAN/466,DRPAN_R/290,DRPAN/298,DRPAN/349,DRPAN_R/109,DRPAN_R/495,DRPAN/251,DRPAN_R/25,DRPAN_R/201,DRPAN_R/285,DRPAN/283,DRPAN_R/232,DRPAN/28,DRPAN_R/68,DRPAN_R/302
left,right,left,left,left,right,left,right,right,right,left,left,left,left,right,left,right,left,right,left,left,right,left,left,right,left,right,left,left,right,right,left,left,left,right,right,right,right,left,right,right,left,right,left,right,left,right,right,left,right,right,left,right,left,left,left,left,right,right,right,DRPAN_R/425,DRPAN/267,DRPAN_R/155,DRPAN_R/77,DRPAN_R/49,DRPAN/363,DRPAN_R/138,DRPAN/402,DRPAN/249,DRPAN/342,DRPAN_R/457,DRPAN_R/205,DRPAN_R/489,DRPAN_R/423,DRPAN/437,DRPAN_R/370,DRPAN/106,DRPAN_R/378,DRPAN/328,DRPAN_R/104,DRPAN_R/30,DRPAN/15,DRPAN_R/31,DRPAN_R/498,DRPAN/301,DRPAN_R/445,DRPAN/147,DRPAN_R/177,DRPAN_R/228,DRPAN/487,DRPAN/473,DRPAN_R/458,DRPAN_R/197,DRPAN_R/391,DRPAN/70,DRPAN/385,DRPAN/124,DRPAN/358,DRPAN_R/411,DRPAN/132,DRPAN/146,DRPAN_R/468,DRPAN/436,DRPAN_R/216,DRPAN/51,DRPAN_R/462,DRPAN/447,DRPAN/153,DRPAN_R/359,DRPAN/278,DRPAN/282,DRPAN_R/424,DRPAN/3,DRPAN_R/440,DRPAN_R/20,DRPAN_R/375,DRPAN_R/264,DRPAN/362,DRPAN/208,DRPAN/230,DRPAN/425,DRPAN_R/267,DRPAN/155,DRPAN/77,DRPAN/49,DRPAN_R/363,DRPAN/138,DRPAN_R/402,DRPAN_R/249,DRPAN_R/342,DRPAN/457,DRPAN/205,DRPAN/489,DRPAN/423,DRPAN_R/437,DRPAN/370,DRPAN_R/106,DRPAN/378,DRPAN_R/328,DRPAN/104,DRPAN/30,DRPAN_R/15,DRPAN/31,DRPAN/498,DRPAN_R/301,DRPAN/445,DRPAN_R/147,DRPAN/177,DRPAN/228,DRPAN_R/487,DRPAN_R/473,DRPAN/458,DRPAN/197,DRPAN/391,DRPAN_R/70,DRPAN_R/385,DRPAN_R/124,DRPAN_R/358,DRPAN/411,DRPAN_R/132,DRPAN_R/146,DRPAN/468,DRPAN_R/436,DRPAN/216,DRPAN_R/51,DRPAN/462,DRPAN_R/447,DRPAN_R/153,DRPAN/359,DRPAN_R/278,DRPAN_R/282,DRPAN/424,DRPAN_R/3,DRPAN/440,DRPAN/20,DRPAN/375,DRPAN/264,DRPAN_R/362,DRPAN_R/208,DRPAN_R/230
right,left,right,left,left,left,left,left,right,left,left,left,left,right,right,right,left,right,right,right,right,right,right,right,right,left,right,right,right,left,right,left,left,right,left,left,left,right,left,left,left,right,right,right,left,left,right,left,left,left,left,left,left,right,right,left,left,left,left,right,DRPAN/192,DRPAN_R/334,DRPAN/159,DRPAN_R/209,DRPAN_R/176,DRPAN_R/312,DRPAN_R/283,DRPAN_R/118,DRPAN/371,DRPAN_R/262,DRPAN_R/196,DRPAN_R/474,DRPAN_R/426,DRPAN/272,DRPAN/70,DRPAN/423,DRPAN_R/24,DRPAN/468,DRPAN/329,DRPAN/263,DRPAN/131,DRPAN/471,DRPAN/357,DRPAN/26,DRPAN/242,DRPAN_R/3,DRPAN/152,DRPAN/256,DRPAN/435,DRPAN_R/483,DRPAN/285,DRPAN_R/416,DRPAN_R/466,DRPAN/98,DRPAN_R/328,DRPAN_R/30,DRPAN_R/97,DRPAN/205,DRPAN_R/404,DRPAN_R/203,DRPAN_R/110,DRPAN/310,DRPAN/436,DRPAN/470,DRPAN_R/361,DRPAN_R/50,DRPAN/96,DRPAN_R/69,DRPAN_R/411,DRPAN_R/224,DRPAN_R/342,DRPAN_R/400,DRPAN_R/246,DRPAN/450,DRPAN/432,DRPAN_R/174,DRPAN_R/457,DRPAN_R/299,DRPAN_R/53,DRPAN/370,DRPAN_R/192,DRPAN/334,DRPAN_R/159,DRPAN/209,DRPAN/176,DRPAN/312,DRPAN/283,DRPAN/118,DRPAN_R/371,DRPAN/262,DRPAN/196,DRPAN/474,DRPAN/426,DRPAN_R/272,DRPAN_R/70,DRPAN_R/423,DRPAN/24,DRPAN_R/468,DRPAN_R/329,DRPAN_R/263,DRPAN_R/131,DRPAN_R/471,DRPAN_R/357,DRPAN_R/26,DRPAN_R/242,DRPAN/3,DRPAN_R/152,DRPAN_R/256,DRPAN_R/435,DRPAN/483,DRPAN_R/285,DRPAN/416,DRPAN/466,DRPAN_R/98,DRPAN/328,DRPAN/30,DRPAN/97,DRPAN_R/205,DRPAN/404,DRPAN/203,DRPAN/110,DRPAN_R/310,DRPAN_R/436,DRPAN_R/470,DRPAN/361,DRPAN/50,DRPAN_R/96,DRPAN/69,DRPAN/411,DRPAN/224,DRPAN/342,DRPAN/400,DRPAN/246,DRPAN_R/450,DRPAN_R/432,DRPAN/174,DRPAN/457,DRPAN/299,DRPAN/53,DRPAN_R/370
