gt_side1,gt_side2,gt_side3,gt_side4,gt_side5,gt_side6,gt_side7,gt_side8,gt_side9,gt_side10,gt_side11,gt_side12,gt_side13,gt_side14,gt_side15,gt_side16,gt_side17,gt_side18,gt_side19,gt_side20,gt_side21,gt_side22,gt_side23,gt_side24,gt_side25,gt_side26,gt_side27,gt_side28,gt_side29,gt_side30,gt_side31,gt_side32,gt_side33,gt_side34,gt_side35,gt_side36,gt_side37,gt_side38,gt_side39,gt_side40,gt_side41,gt_side42,gt_side43,gt_side44,gt_side45,gt_side46,gt_side47,gt_side48,gt_side49,gt_side50,gt_side51,gt_side52,gt_side53,gt_side54,gt_side55,gt_side56,gt_side57,gt_side58,gt_side59,gt_side60,images_left1,images_left2,images_left3,images_left4,images_left5,images_left6,images_left7,images_left8,images_left9,images_left10,images_left11,images_left12,images_left13,images_left14,images_left15,images_left16,images_left17,images_left18,images_left19,images_left20,images_left21,images_left22,images_left23,images_left24,images_left25,images_left26,images_left27,images_left28,images_left29,images_left30,images_left31,images_left32,images_left33,images_left34,images_left35,images_left36,images_left37,images_left38,images_left39,images_left40,images_left41,images_left42,images_left43,images_left44,images_left45,images_left46,images_left47,images_left48,images_left49,images_left50,images_left51,images_left52,images_left53,images_left54,images_left55,images_left56,images_left57,images_left58,images_left59,images_left60,images_right1,images_right2,images_right3,images_right4,images_right5,images_right6,images_right7,images_right8,images_right9,images_right10,images_right11,images_right12,images_right13,images_right14,images_right15,images_right16,images_right17,images_right18,images_right19,images_right20,images_right21,images_right22,images_right23,images_right24,images_right25,images_right26,images_right27,images_right28,images_right29,images_right30,images_right31,images_right32,images_right33,images_right34,images_right35,images_right36,images_right37,images_right38,images_right39,images_right40,images_right41,images_right42,images_right43,images_right44,images_right45,images_right46,images_right47,images_right48,images_right49,images_right50,images_right51,images_right52,images_right53,images_right54,images_right55,images_right56,images_right57,images_right58,images_right59,images_right60
right,left,left,left,left,left,left,right,left,right,left,left,right,left,right,left,right,right,right,left,right,right,left,left,right,left,left,left,right,left,left,left,right,right,left,right,right,left,right,right,left,left,left,right,right,left,left,left,left,left,right,right,left,right,right,right,right,left,left,right,DRPAN_without/805,Groundtruth/284,Groundtruth/487,Groundtruth/826,Groundtruth/650,Groundtruth/334,Groundtruth/951,DRPAN_without/613,Groundtruth/421,DRPAN_without/182,Groundtruth/325,Groundtruth/5,DRPAN_without/269,Groundtruth/510,DRPAN_without/347,Groundtruth/505,DRPAN_without/336,DRPAN_without/1019,DRPAN_without/767,Groundtruth/597,DRPAN_without/729,DRPAN_without/241,Groundtruth/772,Groundtruth/350,DRPAN_without/159,Groundtruth/664,Groundtruth/455,Groundtruth/92,DRPAN_without/656,Groundtruth/680,Groundtruth/882,Groundtruth/288,DRPAN_without/630,DRPAN_without/27,Groundtruth/504,DRPAN_without/499,DRPAN_without/207,Groundtruth/806,DRPAN_without/142,DRPAN_without/471,Groundtruth/462,Groundtruth/39,Groundtruth/61,DRPAN_without/355,DRPAN_without/107,Groundtruth/246,Groundtruth/473,Groundtruth/707,Groundtruth/607,Groundtruth/1003,DRPAN_without/584,DRPAN_without/600,Groundtruth/1037,DRPAN_without/724,DRPAN_without/315,DRPAN_without/1020,DRPAN_without/180,Groundtruth/858,Groundtruth/157,DRPAN_without/891,Groundtruth/805,DRPAN_without/284,DRPAN_without/487,DRPAN_without/826,DRPAN_without/650,DRPAN_without/334,DRPAN_without/951,Groundtruth/613,DRPAN_without/421,Groundtruth/182,DRPAN_without/325,DRPAN_without/5,Groundtruth/269,DRPAN_without/510,Groundtruth/347,DRPAN_without/505,Groundtruth/336,Groundtruth/1019,Groundtruth/767,DRPAN_without/597,Groundtruth/729,Groundtruth/241,DRPAN_without/772,DRPAN_without/350,Groundtruth/159,DRPAN_without/664,DRPAN_without/455,DRPAN_without/92,Groundtruth/656,DRPAN_without/680,DRPAN_without/882,DRPAN_without/288,Groundtruth/630,Groundtruth/27,DRPAN_without/504,Groundtruth/499,Groundtruth/207,DRPAN_without/806,Groundtruth/142,Groundtruth/471,DRPAN_without/462,DRPAN_without/39,DRPAN_without/61,Groundtruth/355,Groundtruth/107,DRPAN_without/246,DRPAN_without/473,DRPAN_without/707,DRPAN_without/607,DRPAN_without/1003,Groundtruth/584,Groundtruth/600,DRPAN_without/1037,Groundtruth/724,Groundtruth/315,Groundtruth/1020,Groundtruth/180,DRPAN_without/858,DRPAN_without/157,Groundtruth/891
left,left,right,right,left,left,left,right,left,right,right,right,left,left,right,left,right,right,right,right,left,left,left,right,left,right,left,right,left,right,left,right,right,right,left,left,left,left,left,left,right,left,right,left,left,right,right,right,left,right,left,right,right,left,right,right,right,right,right,left,Groundtruth/404,Groundtruth/100,DRPAN_without/87,DRPAN_without/966,Groundtruth/839,Groundtruth/934,Groundtruth/636,DRPAN_without/136,Groundtruth/605,DRPAN_without/128,DRPAN_without/427,DRPAN_without/125,Groundtruth/938,Groundtruth/120,DRPAN_without/979,Groundtruth/675,DRPAN_without/214,DRPAN_without/810,DRPAN_without/700,DRPAN_without/951,Groundtruth/210,Groundtruth/102,Groundtruth/953,DRPAN_without/514,Groundtruth/807,DRPAN_without/713,Groundtruth/425,DRPAN_without/466,Groundtruth/148,DRPAN_without/256,Groundtruth/600,DRPAN_without/566,DRPAN_without/422,DRPAN_without/433,Groundtruth/185,Groundtruth/378,Groundtruth/141,Groundtruth/527,Groundtruth/844,Groundtruth/925,DRPAN_without/758,Groundtruth/97,DRPAN_without/511,Groundtruth/285,Groundtruth/835,DRPAN_without/1026,DRPAN_without/950,DRPAN_without/329,Groundtruth/537,DRPAN_without/1008,Groundtruth/1002,DRPAN_without/535,DRPAN_without/367,Groundtruth/781,DRPAN_without/459,DRPAN_without/824,DRPAN_without/435,DRPAN_without/610,DRPAN_without/339,Groundtruth/627,DRPAN_without/404,DRPAN_without/100,Groundtruth/87,Groundtruth/966,DRPAN_without/839,DRPAN_without/934,DRPAN_without/636,Groundtruth/136,DRPAN_without/605,Groundtruth/128,Groundtruth/427,Groundtruth/125,DRPAN_without/938,DRPAN_without/120,Groundtruth/979,DRPAN_without/675,Groundtruth/214,Groundtruth/810,Groundtruth/700,Groundtruth/951,DRPAN_without/210,DRPAN_without/102,DRPAN_without/953,Groundtruth/514,DRPAN_without/807,Groundtruth/713,DRPAN_without/425,Groundtruth/466,DRPAN_without/148,Groundtruth/256,DRPAN_without/600,Groundtruth/566,Groundtruth/422,Groundtruth/433,DRPAN_without/185,DRPAN_without/378,DRPAN_without/141,DRPAN_without/527,DRPAN_without/844,DRPAN_without/925,Groundtruth/758,DRPAN_without/97,Groundtruth/511,DRPAN_without/285,DRPAN_without/835,Groundtruth/1026,Groundtruth/950,Groundtruth/329,DRPAN_without/537,Groundtruth/1008,DRPAN_without/1002,Groundtruth/535,Groundtruth/367,DRPAN_without/781,Groundtruth/459,Groundtruth/824,Groundtruth/435,Groundtruth/610,Groundtruth/339,DRPAN_without/627
left,left,right,right,right,right,left,left,left,right,right,right,right,right,right,left,right,right,left,left,left,left,left,left,left,left,right,left,left,left,right,right,left,right,right,left,left,right,right,right,right,right,right,left,right,left,left,left,right,left,left,right,left,right,right,left,right,left,left,left,Groundtruth/351,Groundtruth/218,DRPAN_without/770,DRPAN_without/613,DRPAN_without/662,DRPAN_without/374,Groundtruth/405,Groundtruth/903,Groundtruth/180,DRPAN_without/499,DRPAN_without/482,DRPAN_without/407,DRPAN_without/764,DRPAN_without/928,DRPAN_without/19,Groundtruth/309,DRPAN_without/555,DRPAN_without/232,Groundtruth/419,Groundtruth/194,Groundtruth/618,Groundtruth/1020,Groundtruth/591,Groundtruth/1029,Groundtruth/965,Groundtruth/292,DRPAN_without/846,Groundtruth/109,Groundtruth/463,Groundtruth/450,DRPAN_without/205,DRPAN_without/862,Groundtruth/866,DRPAN_without/541,DRPAN_without/1040,Groundtruth/297,Groundtruth/533,DRPAN_without/871,DRPAN_without/863,DRPAN_without/430,DRPAN_without/418,DRPAN_without/388,DRPAN_without/751,Groundtruth/604,DRPAN_without/622,Groundtruth/330,Groundtruth/610,Groundtruth/153,DRPAN_without/225,Groundtruth/324,Groundtruth/977,DRPAN_without/283,Groundtruth/1044,DRPAN_without/147,DRPAN_without/761,Groundtruth/677,DRPAN_without/413,Groundtruth/333,Groundtruth/773,Groundtruth/821,DRPAN_without/351,DRPAN_without/218,Groundtruth/770,Groundtruth/613,Groundtruth/662,Groundtruth/374,DRPAN_without/405,DRPAN_without/903,DRPAN_without/180,Groundtruth/499,Groundtruth/482,Groundtruth/407,Groundtruth/764,Groundtruth/928,Groundtruth/19,DRPAN_without/309,Groundtruth/555,Groundtruth/232,DRPAN_without/419,DRPAN_without/194,DRPAN_without/618,DRPAN_without/1020,DRPAN_without/591,DRPAN_without/1029,DRPAN_without/965,DRPAN_without/292,Groundtruth/846,DRPAN_without/109,DRPAN_without/463,DRPAN_without/450,Groundtruth/205,Groundtruth/862,DRPAN_without/866,Groundtruth/541,Groundtruth/1040,DRPAN_without/297,DRPAN_without/533,Groundtruth/871,Groundtruth/863,Groundtruth/430,Groundtruth/418,Groundtruth/388,Groundtruth/751,DRPAN_without/604,Groundtruth/622,DRPAN_without/330,DRPAN_without/610,DRPAN_without/153,Groundtruth/225,DRPAN_without/324,DRPAN_without/977,Groundtruth/283,DRPAN_without/1044,Groundtruth/147,Groundtruth/761,DRPAN_without/677,Groundtruth/413,DRPAN_without/333,DRPAN_without/773,DRPAN_without/821
right,left,right,right,left,left,right,left,right,left,right,left,left,left,right,right,right,right,left,right,left,left,left,right,left,left,left,right,right,right,left,right,left,left,left,left,left,right,left,right,right,left,left,right,left,left,right,right,left,right,right,left,left,right,right,right,right,left,right,right,DRPAN_without/273,Groundtruth/856,DRPAN_without/512,DRPAN_without/616,Groundtruth/556,Groundtruth/703,DRPAN_without/532,Groundtruth/467,DRPAN_without/995,Groundtruth/780,DRPAN_without/1020,Groundtruth/421,Groundtruth/297,Groundtruth/577,DRPAN_without/431,DRPAN_without/284,DRPAN_without/574,DRPAN_without/868,Groundtruth/998,DRPAN_without/345,Groundtruth/843,Groundtruth/303,Groundtruth/897,DRPAN_without/791,Groundtruth/488,Groundtruth/494,Groundtruth/364,DRPAN_without/612,DRPAN_without/435,DRPAN_without/90,Groundtruth/688,DRPAN_without/474,Groundtruth/23,Groundtruth/287,Groundtruth/182,Groundtruth/388,Groundtruth/841,DRPAN_without/203,Groundtruth/667,DRPAN_without/799,DRPAN_without/670,Groundtruth/262,Groundtruth/689,DRPAN_without/628,Groundtruth/147,Groundtruth/630,DRPAN_without/758,DRPAN_without/184,Groundtruth/390,DRPAN_without/549,DRPAN_without/386,Groundtruth/310,Groundtruth/735,DRPAN_without/329,DRPAN_without/350,DRPAN_without/127,DRPAN_without/817,Groundtruth/298,DRPAN_without/244,DRPAN_without/820,Groundtruth/273,DRPAN_without/856,Groundtruth/512,Groundtruth/616,DRPAN_without/556,DRPAN_without/703,Groundtruth/532,DRPAN_without/467,Groundtruth/995,DRPAN_without/780,Groundtruth/1020,DRPAN_without/421,DRPAN_without/297,DRPAN_without/577,Groundtruth/431,Groundtruth/284,Groundtruth/574,Groundtruth/868,DRPAN_without/998,Groundtruth/345,DRPAN_without/843,DRPAN_without/303,DRPAN_without/897,Groundtruth/791,DRPAN_without/488,DRPAN_without/494,DRPAN_without/364,Groundtruth/612,Groundtruth/435,Groundtruth/90,DRPAN_without/688,Groundtruth/474,DRPAN_without/23,DRPAN_without/287,DRPAN_without/182,DRPAN_without/388,DRPAN_without/841,Groundtruth/203,DRPAN_without/667,Groundtruth/799,Groundtruth/670,DRPAN_without/262,DRPAN_without/689,Groundtruth/628,DRPAN_without/147,DRPAN_without/630,Groundtruth/758,Groundtruth/184,DRPAN_without/390,Groundtruth/549,Groundtruth/386,DRPAN_without/310,DRPAN_without/735,Groundtruth/329,Groundtruth/350,Groundtruth/127,Groundtruth/817,DRPAN_without/298,Groundtruth/244,Groundtruth/820
left,left,left,right,left,right,left,right,right,right,left,left,left,right,left,right,right,right,left,left,left,right,left,right,right,right,left,left,left,right,right,right,right,right,right,right,right,left,left,right,left,left,right,left,right,left,right,right,right,left,left,right,right,left,left,right,left,right,right,left,Groundtruth/570,Groundtruth/699,Groundtruth/794,DRPAN_without/1010,Groundtruth/764,DRPAN_without/573,Groundtruth/18,DRPAN_without/782,DRPAN_without/953,DRPAN_without/956,Groundtruth/728,Groundtruth/973,Groundtruth/133,DRPAN_without/515,Groundtruth/961,DRPAN_without/47,DRPAN_without/277,DRPAN_without/592,Groundtruth/931,Groundtruth/148,Groundtruth/601,DRPAN_without/80,Groundtruth/577,DRPAN_without/391,DRPAN_without/974,DRPAN_without/28,Groundtruth/219,Groundtruth/131,Groundtruth/854,DRPAN_without/591,DRPAN_without/1000,DRPAN_without/613,DRPAN_without/849,DRPAN_without/627,DRPAN_without/763,DRPAN_without/691,DRPAN_without/571,Groundtruth/644,Groundtruth/301,DRPAN_without/545,Groundtruth/443,Groundtruth/387,DRPAN_without/610,Groundtruth/292,DRPAN_without/431,Groundtruth/315,DRPAN_without/377,DRPAN_without/55,DRPAN_without/758,Groundtruth/1029,Groundtruth/766,DRPAN_without/176,DRPAN_without/388,Groundtruth/765,Groundtruth/400,DRPAN_without/1012,Groundtruth/538,DRPAN_without/1001,DRPAN_without/716,Groundtruth/791,DRPAN_without/570,DRPAN_without/699,DRPAN_without/794,Groundtruth/1010,DRPAN_without/764,Groundtruth/573,DRPAN_without/18,Groundtruth/782,Groundtruth/953,Groundtruth/956,DRPAN_without/728,DRPAN_without/973,DRPAN_without/133,Groundtruth/515,DRPAN_without/961,Groundtruth/47,Groundtruth/277,Groundtruth/592,DRPAN_without/931,DRPAN_without/148,DRPAN_without/601,Groundtruth/80,DRPAN_without/577,Groundtruth/391,Groundtruth/974,Groundtruth/28,DRPAN_without/219,DRPAN_without/131,DRPAN_without/854,Groundtruth/591,Groundtruth/1000,Groundtruth/613,Groundtruth/849,Groundtruth/627,Groundtruth/763,Groundtruth/691,Groundtruth/571,DRPAN_without/644,DRPAN_without/301,Groundtruth/545,DRPAN_without/443,DRPAN_without/387,Groundtruth/610,DRPAN_without/292,Groundtruth/431,DRPAN_without/315,Groundtruth/377,Groundtruth/55,Groundtruth/758,DRPAN_without/1029,DRPAN_without/766,Groundtruth/176,Groundtruth/388,DRPAN_without/765,DRPAN_without/400,Groundtruth/1012,DRPAN_without/538,Groundtruth/1001,Groundtruth/716,DRPAN_without/791
right,left,right,right,right,left,right,right,right,right,right,left,right,left,left,left,right,left,right,right,left,right,left,right,left,left,left,left,right,left,right,left,right,left,left,left,right,right,right,left,left,right,right,left,right,right,right,right,left,left,right,right,right,left,right,right,left,left,right,left,DRPAN_without/681,Groundtruth/893,DRPAN_without/390,DRPAN_without/910,DRPAN_without/756,Groundtruth/162,DRPAN_without/521,DRPAN_without/944,DRPAN_without/69,DRPAN_without/946,DRPAN_without/859,Groundtruth/755,DRPAN_without/442,Groundtruth/511,Groundtruth/28,Groundtruth/761,DRPAN_without/651,Groundtruth/980,DRPAN_without/905,DRPAN_without/931,Groundtruth/362,DRPAN_without/151,Groundtruth/952,DRPAN_without/154,Groundtruth/211,Groundtruth/496,Groundtruth/999,Groundtruth/618,DRPAN_without/639,Groundtruth/895,DRPAN_without/269,Groundtruth/19,DRPAN_without/828,Groundtruth/601,Groundtruth/483,Groundtruth/880,DRPAN_without/818,DRPAN_without/21,DRPAN_without/209,Groundtruth/965,Groundtruth/676,DRPAN_without/473,DRPAN_without/719,Groundtruth/782,DRPAN_without/71,DRPAN_without/294,DRPAN_without/10,DRPAN_without/715,Groundtruth/381,Groundtruth/9,DRPAN_without/80,DRPAN_without/165,DRPAN_without/1028,Groundtruth/172,DRPAN_without/344,DRPAN_without/537,Groundtruth/590,Groundtruth/502,DRPAN_without/132,Groundtruth/49,Groundtruth/681,DRPAN_without/893,Groundtruth/390,Groundtruth/910,Groundtruth/756,DRPAN_without/162,Groundtruth/521,Groundtruth/944,Groundtruth/69,Groundtruth/946,Groundtruth/859,DRPAN_without/755,Groundtruth/442,DRPAN_without/511,DRPAN_without/28,DRPAN_without/761,Groundtruth/651,DRPAN_without/980,Groundtruth/905,Groundtruth/931,DRPAN_without/362,Groundtruth/151,DRPAN_without/952,Groundtruth/154,DRPAN_without/211,DRPAN_without/496,DRPAN_without/999,DRPAN_without/618,Groundtruth/639,DRPAN_without/895,Groundtruth/269,DRPAN_without/19,Groundtruth/828,DRPAN_without/601,DRPAN_without/483,DRPAN_without/880,Groundtruth/818,Groundtruth/21,Groundtruth/209,DRPAN_without/965,DRPAN_without/676,Groundtruth/473,Groundtruth/719,DRPAN_without/782,Groundtruth/71,Groundtruth/294,Groundtruth/10,Groundtruth/715,DRPAN_without/381,DRPAN_without/9,Groundtruth/80,Groundtruth/165,Groundtruth/1028,DRPAN_without/172,Groundtruth/344,Groundtruth/537,DRPAN_without/590,DRPAN_without/502,Groundtruth/132,DRPAN_without/49
left,right,left,left,right,right,left,left,right,left,right,right,right,left,right,left,right,left,right,right,left,left,left,right,left,right,left,left,right,left,right,right,left,left,right,right,right,left,left,left,left,right,right,right,left,left,right,right,right,left,left,right,left,left,left,right,right,left,right,left,Groundtruth/840,DRPAN_without/873,Groundtruth/978,Groundtruth/758,DRPAN_without/911,DRPAN_without/149,Groundtruth/225,Groundtruth/1003,DRPAN_without/146,Groundtruth/849,DRPAN_without/813,DRPAN_without/39,DRPAN_without/677,Groundtruth/327,DRPAN_without/401,Groundtruth/647,DRPAN_without/83,Groundtruth/859,DRPAN_without/665,DRPAN_without/913,Groundtruth/568,Groundtruth/583,Groundtruth/896,DRPAN_without/499,Groundtruth/1045,DRPAN_without/941,Groundtruth/416,Groundtruth/456,DRPAN_without/981,Groundtruth/952,DRPAN_without/208,DRPAN_without/967,Groundtruth/666,Groundtruth/973,DRPAN_without/505,DRPAN_without/891,DRPAN_without/102,Groundtruth/153,Groundtruth/1035,Groundtruth/91,Groundtruth/119,DRPAN_without/515,DRPAN_without/152,DRPAN_without/1002,Groundtruth/537,Groundtruth/918,DRPAN_without/972,DRPAN_without/631,DRPAN_without/991,Groundtruth/823,Groundtruth/395,DRPAN_without/389,Groundtruth/106,Groundtruth/570,Groundtruth/731,DRPAN_without/851,DRPAN_without/1037,Groundtruth/60,DRPAN_without/315,Groundtruth/881,DRPAN_without/840,Groundtruth/873,DRPAN_without/978,DRPAN_without/758,Groundtruth/911,Groundtruth/149,DRPAN_without/225,DRPAN_without/1003,Groundtruth/146,DRPAN_without/849,Groundtruth/813,Groundtruth/39,Groundtruth/677,DRPAN_without/327,Groundtruth/401,DRPAN_without/647,Groundtruth/83,DRPAN_without/859,Groundtruth/665,Groundtruth/913,DRPAN_without/568,DRPAN_without/583,DRPAN_without/896,Groundtruth/499,DRPAN_without/1045,Groundtruth/941,DRPAN_without/416,DRPAN_without/456,Groundtruth/981,DRPAN_without/952,Groundtruth/208,Groundtruth/967,DRPAN_without/666,DRPAN_without/973,Groundtruth/505,Groundtruth/891,Groundtruth/102,DRPAN_without/153,DRPAN_without/1035,DRPAN_without/91,DRPAN_without/119,Groundtruth/515,Groundtruth/152,Groundtruth/1002,DRPAN_without/537,DRPAN_without/918,Groundtruth/972,Groundtruth/631,Groundtruth/991,DRPAN_without/823,DRPAN_without/395,Groundtruth/389,DRPAN_without/106,DRPAN_without/570,DRPAN_without/731,Groundtruth/851,Groundtruth/1037,DRPAN_without/60,Groundtruth/315,DRPAN_without/881
left,left,right,left,right,right,left,right,left,left,left,right,right,right,left,left,left,right,left,right,right,left,left,right,right,left,right,right,right,right,right,right,right,right,right,left,left,right,right,left,left,right,right,right,left,right,right,right,left,left,right,left,left,right,right,right,right,left,right,left,Groundtruth/515,Groundtruth/977,DRPAN_without/925,Groundtruth/957,DRPAN_without/381,DRPAN_without/324,Groundtruth/920,DRPAN_without/1044,Groundtruth/788,Groundtruth/956,Groundtruth/48,DRPAN_without/391,DRPAN_without/848,DRPAN_without/461,Groundtruth/981,Groundtruth/133,Groundtruth/581,DRPAN_without/670,Groundtruth/995,DRPAN_without/523,DRPAN_without/1002,Groundtruth/487,Groundtruth/182,DRPAN_without/317,DRPAN_without/357,Groundtruth/239,DRPAN_without/32,DRPAN_without/143,DRPAN_without/124,DRPAN_without/501,DRPAN_without/875,DRPAN_without/693,DRPAN_without/1035,DRPAN_without/203,DRPAN_without/267,Groundtruth/439,Groundtruth/1018,DRPAN_without/761,DRPAN_without/900,Groundtruth/862,Groundtruth/315,DRPAN_without/1049,DRPAN_without/654,DRPAN_without/590,Groundtruth/73,DRPAN_without/125,DRPAN_without/394,DRPAN_without/185,Groundtruth/562,Groundtruth/482,DRPAN_without/236,Groundtruth/609,Groundtruth/948,DRPAN_without/111,DRPAN_without/751,DRPAN_without/750,DRPAN_without/164,Groundtruth/1013,DRPAN_without/152,Groundtruth/717,DRPAN_without/515,DRPAN_without/977,Groundtruth/925,DRPAN_without/957,Groundtruth/381,Groundtruth/324,DRPAN_without/920,Groundtruth/1044,DRPAN_without/788,DRPAN_without/956,DRPAN_without/48,Groundtruth/391,Groundtruth/848,Groundtruth/461,DRPAN_without/981,DRPAN_without/133,DRPAN_without/581,Groundtruth/670,DRPAN_without/995,Groundtruth/523,Groundtruth/1002,DRPAN_without/487,DRPAN_without/182,Groundtruth/317,Groundtruth/357,DRPAN_without/239,Groundtruth/32,Groundtruth/143,Groundtruth/124,Groundtruth/501,Groundtruth/875,Groundtruth/693,Groundtruth/1035,Groundtruth/203,Groundtruth/267,DRPAN_without/439,DRPAN_without/1018,Groundtruth/761,Groundtruth/900,DRPAN_without/862,DRPAN_without/315,Groundtruth/1049,Groundtruth/654,Groundtruth/590,DRPAN_without/73,Groundtruth/125,Groundtruth/394,Groundtruth/185,DRPAN_without/562,DRPAN_without/482,Groundtruth/236,DRPAN_without/609,DRPAN_without/948,Groundtruth/111,Groundtruth/751,Groundtruth/750,Groundtruth/164,DRPAN_without/1013,Groundtruth/152,DRPAN_without/717
right,left,right,right,right,right,right,right,right,right,left,left,left,left,left,left,right,right,right,right,right,right,right,left,right,right,right,right,right,left,right,right,right,right,right,left,right,right,right,left,right,right,right,right,right,left,right,left,left,left,right,left,right,left,right,left,right,right,right,left,DRPAN_without/806,Groundtruth/400,DRPAN_without/878,DRPAN_without/828,DRPAN_without/526,DRPAN_without/488,DRPAN_without/706,DRPAN_without/918,DRPAN_without/930,DRPAN_without/789,Groundtruth/492,Groundtruth/778,Groundtruth/284,Groundtruth/623,Groundtruth/899,Groundtruth/210,DRPAN_without/87,DRPAN_without/582,DRPAN_without/629,DRPAN_without/286,DRPAN_without/60,DRPAN_without/635,DRPAN_without/357,Groundtruth/478,DRPAN_without/673,DRPAN_without/421,DRPAN_without/189,DRPAN_without/454,DRPAN_without/888,Groundtruth/835,DRPAN_without/180,DRPAN_without/866,DRPAN_without/1007,DRPAN_without/962,DRPAN_without/130,Groundtruth/226,DRPAN_without/216,DRPAN_without/23,DRPAN_without/200,Groundtruth/389,DRPAN_without/438,DRPAN_without/1002,DRPAN_without/424,DRPAN_without/729,DRPAN_without/801,Groundtruth/476,DRPAN_without/852,Groundtruth/626,Groundtruth/309,Groundtruth/1050,DRPAN_without/128,Groundtruth/7,DRPAN_without/29,Groundtruth/255,DRPAN_without/682,Groundtruth/873,DRPAN_without/416,DRPAN_without/837,DRPAN_without/552,Groundtruth/305,Groundtruth/806,DRPAN_without/400,Groundtruth/878,Groundtruth/828,Groundtruth/526,Groundtruth/488,Groundtruth/706,Groundtruth/918,Groundtruth/930,Groundtruth/789,DRPAN_without/492,DRPAN_without/778,DRPAN_without/284,DRPAN_without/623,DRPAN_without/899,DRPAN_without/210,Groundtruth/87,Groundtruth/582,Groundtruth/629,Groundtruth/286,Groundtruth/60,Groundtruth/635,Groundtruth/357,DRPAN_without/478,Groundtruth/673,Groundtruth/421,Groundtruth/189,Groundtruth/454,Groundtruth/888,DRPAN_without/835,Groundtruth/180,Groundtruth/866,Groundtruth/1007,Groundtruth/962,Groundtruth/130,DRPAN_without/226,Groundtruth/216,Groundtruth/23,Groundtruth/200,DRPAN_without/389,Groundtruth/438,Groundtruth/1002,Groundtruth/424,Groundtruth/729,Groundtruth/801,DRPAN_without/476,Groundtruth/852,DRPAN_without/626,DRPAN_without/309,DRPAN_without/1050,Groundtruth/128,DRPAN_without/7,Groundtruth/29,DRPAN_without/255,Groundtruth/682,DRPAN_without/873,Groundtruth/416,Groundtruth/837,Groundtruth/552,DRPAN_without/305
right,right,right,right,right,left,left,left,right,left,left,left,left,right,left,left,right,left,left,left,right,left,left,right,left,right,left,right,right,left,left,left,left,left,right,left,left,left,right,left,left,right,left,left,left,right,right,right,left,left,left,right,left,left,right,right,left,right,left,right,DRPAN_without/763,DRPAN_without/1033,DRPAN_without/623,DRPAN_without/661,DRPAN_without/43,Groundtruth/49,Groundtruth/918,Groundtruth/812,DRPAN_without/562,Groundtruth/970,Groundtruth/534,Groundtruth/569,Groundtruth/314,DRPAN_without/703,Groundtruth/1009,Groundtruth/307,DRPAN_without/679,Groundtruth/180,Groundtruth/898,Groundtruth/976,DRPAN_without/479,Groundtruth/65,Groundtruth/851,DRPAN_without/959,Groundtruth/595,DRPAN_without/621,Groundtruth/299,DRPAN_without/337,DRPAN_without/866,Groundtruth/268,Groundtruth/856,Groundtruth/71,Groundtruth/329,Groundtruth/714,DRPAN_without/691,Groundtruth/444,Groundtruth/15,Groundtruth/382,DRPAN_without/19,Groundtruth/594,Groundtruth/39,DRPAN_without/641,Groundtruth/591,Groundtruth/617,Groundtruth/822,DRPAN_without/367,DRPAN_without/696,DRPAN_without/456,Groundtruth/517,Groundtruth/772,Groundtruth/246,DRPAN_without/530,Groundtruth/879,Groundtruth/771,DRPAN_without/94,DRPAN_without/804,Groundtruth/393,DRPAN_without/747,Groundtruth/710,DRPAN_without/305,Groundtruth/763,Groundtruth/1033,Groundtruth/623,Groundtruth/661,Groundtruth/43,DRPAN_without/49,DRPAN_without/918,DRPAN_without/812,Groundtruth/562,DRPAN_without/970,DRPAN_without/534,DRPAN_without/569,DRPAN_without/314,Groundtruth/703,DRPAN_without/1009,DRPAN_without/307,Groundtruth/679,DRPAN_without/180,DRPAN_without/898,DRPAN_without/976,Groundtruth/479,DRPAN_without/65,DRPAN_without/851,Groundtruth/959,DRPAN_without/595,Groundtruth/621,DRPAN_without/299,Groundtruth/337,Groundtruth/866,DRPAN_without/268,DRPAN_without/856,DRPAN_without/71,DRPAN_without/329,DRPAN_without/714,Groundtruth/691,DRPAN_without/444,DRPAN_without/15,DRPAN_without/382,Groundtruth/19,DRPAN_without/594,DRPAN_without/39,Groundtruth/641,DRPAN_without/591,DRPAN_without/617,DRPAN_without/822,Groundtruth/367,Groundtruth/696,Groundtruth/456,DRPAN_without/517,DRPAN_without/772,DRPAN_without/246,Groundtruth/530,DRPAN_without/879,DRPAN_without/771,Groundtruth/94,Groundtruth/804,DRPAN_without/393,Groundtruth/747,DRPAN_without/710,Groundtruth/305
